1 1 0
2 1.4094 0.00410406
3 1.72948 0.00563917
4 2.00002 0.00712808
5 2.2345 0.00863839
6 2.44203 0.00913633
7 2.64141 0.00914807
8 2.82803 0.0101249
9 3.00499 0.0107968
10 3.16573 0.011624
11 3.31548 0.0134782
12 3.47354 0.0147328
13 3.62001 0.0158827
14 3.76098 0.0157483
15 3.88824 0.0159972
16 4.0062 0.0160013
17 4.12033 0.0162594
18 4.24459 0.016995
19 4.35597 0.0184942
20 4.47253 0.0193234
21 4.57891 0.0195743
22 4.68832 0.0199293
23 4.7911 0.0199065
24 4.89643 0.0200438
25 4.98568 0.0211255
26 5.07283 0.0209983
27 5.16444 0.0220746
28 5.25828 0.0218845
29 5.34969 0.0226316
30 5.44299 0.0237562
31 5.52872 0.0250179
32 5.62471 0.0254636
33 5.71359 0.0261576
34 5.80637 0.0262555
35 5.89593 0.0253213
36 5.9893 0.0262157
37 6.06357 0.0261026
38 6.14853 0.0262842
39 6.2301 0.0261263
40 6.30996 0.025281
41 6.38084 0.0250674
42 6.46544 0.0252871
43 6.54519 0.0254974
44 6.61782 0.027034
45 6.68974 0.0266566
46 6.76276 0.0264937
47 6.8324 0.0264634
48 6.89739 0.0271779
49 6.96373 0.0270444
50 7.03441 0.0266537
51 7.10061 0.0268619
52 7.16445 0.027145
53 7.24087 0.0271714
54 7.31585 0.0262209
55 7.37398 0.0271716
56 7.44695 0.02791
57 7.51825 0.0277744
58 7.58084 0.027045
59 7.65497 0.0275193
60 7.71998 0.0278457
61 7.7887 0.0286884
62 7.84911 0.0283583
63 7.91854 0.029191
64 7.98401 0.0290951
65 8.04737 0.0292587
66 8.12151 0.0294536
67 8.17769 0.0299414
68 8.23707 0.0306078
69 8.29896 0.0311059
70 8.35852 0.03086
71 8.41639 0.0311633
72 8.47266 0.0312724
73 8.53225 0.0318752
74 8.59026 0.0324486
75 8.64585 0.0326783
76 8.70671 0.032609
77 8.75888 0.031839
78 8.81681 0.032315
79 8.86789 0.0329445
80 8.91811 0.033518
81 8.9817 0.0345493
82 9.04351 0.0347775
83 9.10156 0.035362
84 9.15194 0.0363893
85 9.19687 0.0368157
86 9.24855 0.0360141
87 9.30841 0.0354568
88 9.35486 0.0352965
89 9.41242 0.0352334
90 9.45952 0.0353645
91 9.52257 0.0348839
92 9.57498 0.035207
93 9.62996 0.0351976
94 9.6854 0.03583
95 9.7459 0.0368452
96 9.79216 0.0369566
97 9.83453 0.0377604
98 9.88848 0.0377402
99 9.93532 0.0383599
100 9.97461 0.0388544
